Entity,Agenda_URL,Vendor,Council_Cadence,Planning_Commission_URL,Source_URL
Town of Atherton,https://www.ci.atherton.ca.us/AgendaCenter,CivicPlus,UNKNOWN,https://www.ci.atherton.ca.us/AgendaCenter/Planning-Commission-5,https://www.ci.atherton.ca.us/AgendaCenter
City of Belmont,https://belmont-ca.granicus.com/ViewPublisher.php?view_id=1,Granicus,1st and 3rd Monday of each month at 7:00 pm,https://belmont-ca.granicus.com/ViewPublisher.php?view_id=2,https://www.belmont.gov/departments/meetings-agendas-minutes/watch-meetings-online
City of Brisbane,https://brisbaneca.gov/city-government/city-council,UNKNOWN,1st and 3rd Thursday of each month at 6:30 pm,UNKNOWN,https://brisbaneca.gov/city-government/city-council
City of Burlingame,https://burlingame.org/agendacenter,CivicPlus,1st and 3rd Monday of each month at 7:00 pm,https://burlingame.org/agendacenter?department=Planning%20Commission,https://burlingame.org/agendacenter
Town of Colma,https://www.colma.ca.gov/city-council-meetings/,CivicPlus,UNKNOWN,https://www.colma.ca.gov/boards-commissions/,https://www.colma.ca.gov/city-council-meetings/
City of Daly City,https://dalycity.legistar.com/Calendar.aspx,Legistar,2nd and 4th Tuesday of each month at 6:30 pm,https://dalycity.legistar.com/Calendar.aspx?CommitteeID=146,https://dalycity.legistar.com/Calendar.aspx
City of East Palo Alto,http://eastpaloalto.iqm2.com/Citizens/Default.aspx,IQM2,1st and 3rd Tuesday of each month at 6:30 pm,http://eastpaloalto.iqm2.com/Citizens/Default.aspx?CommitteeId=135,http://eastpaloalto.iqm2.com/Citizens/Default.aspx
City of Foster City,https://www.fostercity.org/agendacenter,CivicPlus,2nd and 4th Tuesday of each month at 7:00 pm,https://www.fostercity.org/agendacenter?department=Planning%20Commission,https://www.fostercity.org/agendacenter
City of Half Moon Bay,https://half-moon-bay.ca.us/313/Meeting-Agendas,Granicus,1st and 3rd Tuesday of each month at 7:00 pm,https://half-moon-bay.ca.us/313/Meeting-Agendas,https://half-moon-bay.ca.us/313/Meeting-Agendas
Town of Hillsborough,https://www.hillsborough.net/129/Agendas-Minutes,CivicPlus,2nd and 4th Tuesday of each month at 7:00 pm,https://www.hillsborough.net/129/Agendas-Minutes,https://www.hillsborough.net/129/Agendas-Minutes
City of Menlo Park,https://menlopark.legistar.com/Calendar.aspx,Legistar,2nd and 4th Tuesday of each month at 7:00 pm,https://menlopark.legistar.com/Calendar.aspx?CommitteeID=146,https://menlopark.legistar.com/Calendar.aspx
City of Millbrae,https://www.ci.millbrae.ca.us/AgendaCenter,CivicPlus,2nd and 4th Tuesday of each month at 7:00 pm,https://www.ci.millbrae.ca.us/AgendaCenter?department=Planning%20Commission,https://www.ci.millbrae.ca.us/AgendaCenter
City of Pacifica,https://pacificacity.legistar.com/Calendar.aspx,Legistar,2nd and 4th Monday of each month at 7:00 pm,https://pacificacity.legistar.com/Calendar.aspx?CommitteeID=146,https://pacificacity.legistar.com/Calendar.aspx
Town of Portola Valley,https://www.portolavalley.net/agendacenter,CivicPlus,2nd and 4th Wednesday of each month at 7:00 pm,https://www.portolavalley.net/agendacenter?department=Planning%20Commission,https://www.portolavalley.net/agendacenter
City of Redwood City,https://redwoodcity.legistar.com/Calendar.aspx,Legistar,2nd and 4th Monday of each month at 7:00 pm,https://redwoodcity.legistar.com/Calendar.aspx?CommitteeID=146,https://redwoodcity.legistar.com/Calendar.aspx
City of San Bruno,https://sanbruno.ca.gov/AgendaCenter,CivicPlus,2nd and 4th Tuesday of each month at 7:00 pm,https://sanbruno.ca.gov/AgendaCenter?department=Planning%20Commission,https://sanbruno.ca.gov/AgendaCenter
City of San Carlos,https://www.cityofsancarlos.org/AgendaCenter,CivicPlus,2nd and 4th Monday of each month at 7:00 pm,https://www.cityofsancarlos.org/AgendaCenter?department=Planning%20Commission,https://www.cityofsancarlos.org/AgendaCenter
City of San Mateo,https://www.cityofsanmateo.org/agendacenter,CivicPlus,1st and 3rd Monday of each month at 7:00 pm,https://www.cityofsanmateo.org/agendacenter?department=Planning%20Commission,https://www.cityofsanmateo.org/agendacenter
City of South San Francisco,https://ssfca.legistar.com/Calendar.aspx,Legistar,2nd and 4th Wednesday of each month at 7:00 pm,https://ssfca.legistar.com/Calendar.aspx?CommitteeID=146,https://ssfca.legistar.com/Calendar.aspx
Town of Woodside,https://www.woodsideca.gov/129/Agendas-Minutes,CivicPlus,2nd and 4th Tuesday of each month at 7:30 pm,https://www.woodsideca.gov/129/Agendas-Minutes,https://www.woodsideca.gov/129/Agendas-Minutes
San Mateo County,https://sanmateocounty.legistar.com/Calendar.aspx,Legistar,Weekly - usually Tuesdays at 9:00 am,UNKNOWN,https://www.smcgov.org/bos/board-supervisors-agenda-information
